CustomerID,SimilarCustomerID,SimilarityScore
C0001,C0064,0.9940102407550767
C0001,C0018,0.972669967845418
C0001,C0119,0.9432510245409608
C0002,C0062,0.995441876038633
C0002,C0144,0.9879866705716347
C0002,C0159,0.9847040148612596
C0003,C0031,0.9929580952007752
C0003,C0026,0.9735282434433666
C0003,C0149,0.965058188707725
C0004,C0065,0.9653495192841488
C0004,C0018,0.9584286072475859
C0004,C0064,0.9062555006090786
C0005,C0197,0.9915238390463919
C0005,C0163,0.9282015921704501
C0005,C0080,0.07153122007589155
C0006,C0079,0.9999876034472264
C0006,C0135,0.9893587558577273
C0006,C0187,0.9856334087795102
C0007,C0140,0.9881078037379301
C0007,C0069,0.9858371250899015
C0007,C0095,0.9805533913874722
C0008,C0075,0.9783382250394608
C0008,C0145,0.9776383532625351
C0008,C0045,0.9694381775675958
C0009,C0092,0.9800287154736155
C0009,C0072,0.9598478384426021
C0009,C0080,0.11023735775213783
C0010,C0142,0.9914168741268036
C0010,C0132,0.9763800260974196
C0010,C0153,0.9111376708103023
C0011,C0094,0.9341675498260632
C0011,C0032,0.9140892062395279
C0011,C0156,0.8582232011240998
C0012,C0065,0.059404710306536115
C0012,C0141,0.05788033028523792
C0012,C0156,0.05257631368167582
C0013,C0105,0.9860678515455352
C0013,C0101,0.98566912696551
C0013,C0056,0.9200551275229051
C0014,C0097,0.9986952519512081
C0014,C0110,0.9832531492548383
C0014,C0151,0.9761271067873828
C0015,C0123,0.9900898524389266
C0015,C0073,0.9599937009832431
C0015,C0137,0.929615738598772
C0016,C0107,0.9894671194667096
C0016,C0192,0.9687815737289105
C0016,C0044,0.06279451328896535
C0017,C0190,0.9798833266621146
C0017,C0109,0.10758679649278416
C0017,C0065,0.09865723795057967
C0018,C0064,0.9796199637847592
C0018,C0001,0.972669967845418
C0018,C0004,0.9584286072475859
C0019,C0191,0.9766052849527728
C0019,C0112,0.9587092722793957
C0019,C0125,0.9526582113520369
C0020,C0130,0.999582491126444
C0020,C0120,0.9820396031223106
C0020,C0080,0.14357862495031362
